PRIMARY_FACILITY_ID,FACILITY_NAME,PERMIT_NO,CLIENT_ID,CLIENT_NAME,MUNICIPALITY,COUNTY,REGION,PERMIT_TYPE,FEE_CATEGORY,LATEST_PERMIT_ISSUE_DATE,AVAILABLE_LAND,TOTAL_AEUS,LOCATION_ADDRESS,LOCATION_ADDRESS_CITY_STATE_ZIP,ANIMAL_TYPES
767107,SHEL-MAR ACRES,PAG123752,308999,SHELMAR ACRES LLC,East Donegal Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,07/11/2024,187.8,1371.26,580 COLEBROOK RD,"MOUNT JOY, PA 17552-9777",Swine - Wean to finish - 143 lbs (13-273)
767107,SHEL-MAR ACRES,PAG123752,308999,SHELMAR ACRES LLC,East Donegal Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,07/11/2024,187.8,1371.26,580 COLEBROOK RD,"MOUNT JOY, PA 17552-9777",Dairy - Holstein/Brown Swiss - Calf (0-1 yr) - 420 lbs (90-750)
764609,A & L FARMS,PAG123775,309726,LINFORD SNYDER,Upper Bern Twp,Berks,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,04/10/2024,35,509.18,3304 MOUNTAIN RD,"HAMBURG, PA 19526-7910","Sheep, smaller breed - Ram - 125 lbs"
777444,BIVOUAC SOW FARM,PAG123782,216104,COUNTRY VIEW FAMILY FARMS LLC,Ayr Twp,Fulton,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,07/14/2015,1,3271.50,15197 GREAT COVE ROAD,"BIG COVE TANNERY, PA 17212",Swine - Boar - 450 lbs
779500,TODD CHESTNUT FARM,PAG123784,313085,TODD CHESTNUT,Upper Mifflin Twp,Cumberland,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,10/21/2024,571.6,1109.67,910 BRIDGEWATER RD,"NEWVILLE, PA 17241-8507",Swine - Grow finish - 165 lbs (57-273)
697840,MICHAEL HEGE CAFO,PAG123610,302643,HEGE MICHAEL J,Washington Twp,Franklin,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,05/21/2024,100.1,312.14,11473 GEHR RD,"WAYNESBORO, PA 17268-9239",Poultry - Chickens - Layer (18-75 wks) - 3.13 lbs (2.82-3.44)
750578,JUNK INN FARM LLC CAFO,PAG123725,334835,JUNK INN FARMS LLC,Metal Twp,Franklin,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,08/14/2024,365.2,1703.16,14492 PATH VALLEY ROAD,"WILLOW HILL, PA 17271","Sheep, larger breed - Lamb (0-1 yr) - 95 lbs (10-180)"
573242,MERCER VU FARMS CAFO,PAG123833,161260,MERCER VU FARMS INC,Montgomery Twp,Franklin,SCRO,Manure Storage and Wastewater Impoundments,PAG-12 CAFO Permit,02/28/2024,2731.52,4303.85,12275 MOUNT PLEASANT RD,"MERCERSBURG, PA 17236-9745",Dairy - Holstein/Brown Swiss - Heifer (1-2 yr) - 1000 lbs (750-1250)
808863,GARRETT WEAVER FARM,PAG123826,325619,WEAVER GARRETT,West Lampeter Twp,Lancaster,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,12/06/2021,288.3,132.97,1501 ESHELMAN MILL RD,"WILLOW STREET, PA 17584-9550",Beef - Finishing (8-24 mos) - 950 lbs (500-1400)
752182,BERWICK SWINE FARM,PAG122212,352635,AG VENTURES LLC,Salem Twp,Luzerne,NERO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,07/15/2024,1,774.40,137 BOMBOY LN,"BERWICK, PA 18603-6509",Swine - Grow finish - 165 lbs (57-273)
724976,BERMUDIAN VALLEY PULLETS,PAG123651,342182,NOLT LAWRENCE,Washington Twp,York,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,05/07/2024,149.5,153.33,80 CREEK RD,"EAST BERLIN, PA 17316-9119",Beef - Cow - 1400 lbs
756631,SILVER CREST ACRES,PA0259969,253034,SENSENIG JONAS O,Drumore Twp,Lancaster,SCRO,Concentrated Animal Feed Operations Indiv NPDES Pmt,CAFO Individual Permit,03/07/2024,335.4,432.28,1147 SILVER SPRING RD,"HOLTWOOD, PA 17532-9741",Beef - Cow - 1400 lbs
849425,WAYNE LEID FARM,PAG123921,361580,LEID WAYNE B,Lurgan Twp,Franklin,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,07/19/2021,90.5,419.20,14159 PAXTON RUN RD,"SHIPPENSBURG, PA 17257-9118",Swine - Nursery Pig - 35 lbs (13-57)
698917,BENNER FAMILY FARM,PAG123628,294473,BENNERS SWINE BARN LLC,Delaware Twp,Juniata,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,09/14/2021,371.8,611.45,56 PLATT HOLLOW RD,"THOMPSONTOWN, PA 17094-8721",Beef - Finishing (8-24 mos) - 950 lbs (500-1400)
691938,HACKMAN FARM CAFO,PAG124819,247719,HACKMAN WILLARD G,Delmar Twp,Tioga,NCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,07/03/2024,403,703.95,1035 DEAN HILL RD,"WELLSBORO, PA 16901-7406",Beef - Cow - 1400 lbs
829301,WINDY PINE CAFO,PAG120009,367001,WINDY PINE FARM INC,East Nottingham Twp,Chester,SERO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,12/19/2024,1,363.09,410 BARNSLEY RD,"OXFORD, PA 19363-4105","Goats, meat - Doe - 150 lbs "
833826,REU-HEL CAFO,PAG123884,348517,TROUTMAN CONNIE & TROUTMAN SCOTT,Centre Twp,Berks,SCRO,PAG-12 Concentrated Animal Feed Operations,PAG-12 CAFO Permit,07/29/2024,509.8,571.17,638 RAILROAD RD,"MOHRSVILLE, PA 19541-8868",Dairy - Jersey - Bull - 1200 lbs
